,summary_gpt,summary_t5,summary_actual,index,input,
0,More than 400 people were sent to hospital on Monday as a flood in Dumfries and Galloway prompted a two-day evacuation.,Flooding in Dumfries and Galloway has left thousands of people without homes and businesses in the Borders after the River Cree overflowed into the town.,Clean-up operations are continuing across the Scottish Borders and Dumfries and Galloway after flooding caused by Storm Frank.,0,"The full cost of damage in Newton Stewart, one of the areas worst affected, is still being assessed.
Repair work is ongoing in Hawick and many roads in Peeblesshire remain badly affected by standing water.
Trains on the west coast mainline face disruption due to damage at the Lamington Viaduct.
Many businesses and householders were affected by flooding in Newton Stewart after the River Cree overflowed into the town.
First Minister Nicola Sturgeon visited the area to inspect the damage.
The waters breached a retaining wall, flooding many commercial properties on Victoria Street - the main shopping thoroughfare.
Jeanette Tate, who owns the Cinnamon Cafe which was badly affected, said she could not fault the multi-agency response once the flood hit.
However, she said more preventative work could have been carried out to ensure the retaining wall did not fail.
""It is difficult but I do think there is so much publicity for Dumfries and the Nith - and I totally appreciate that - but it is almost like we're neglected or forgotten,"" she said.
""That may not be true but it is perhaps my perspective over the last few days.
""Why were you not ready to help us a bit more when the warning and the alarm alerts had gone out?""
Meanwhile, a flood alert remains in place across the Borders because of the constant rain.
Peebles was badly hit by problems, sparking calls to introduce more defences in the area.
Scottish Borders Council has put a list on its website of the roads worst affected and drivers have been urged not to ignore closure signs.
The Labour Party's deputy Scottish leader Alex Rowley was in Hawick on Monday to see the situation first hand.
He said it was important to get the flood protection plan right but backed calls to speed up the process.
""I was quite taken aback by the amount of damage that has been done,"" he said.
""Obviously it is heart-breaking for people who have been forced out of their homes and the impact on businesses.""
He said it was important that ""immediate steps"" were taken to protect the areas most vulnerable and a clear timetable put in place for flood prevention plans.
Have you been affected by flooding in Dumfries and Galloway or the Borders? Tell us about your experience of the situation and how it was handled. Email us on selkirk.news@bbc.co.uk or dumfries@bbc.co.uk.",Clean-up operations are continuing across the Scottish Borders and Dumfries and Galloway after flooding caused by Storm Frank.
1,"A group of 20 tourists have been injured in road rage incidents in County Down overnight, with two seriously injured.",Two tour buses have been engulfed in flames after a fire alarm went off in a hotel on the north coast of Northern Ireland.,Two tourist buses have been destroyed by fire in a suspected arson attack in Belfast city centre.,1,"A fire alarm went off at the Holiday Inn in Hope Street at about 04:20 BST on Saturday and guests were asked to leave the hotel.
As they gathered outside they saw the two buses, parked side-by-side in the car park, engulfed by flames.
One of the tour groups is from Germany, the other from China and Taiwan. It was their first night in Northern Ireland.
The driver of one of the buses said many of the passengers had left personal belongings on board and these had been destroyed.
Both groups have organised replacement coaches and will begin their tour of the north coast later than they had planned.
Police have appealed for information about the attack.
Insp David Gibson said: ""It appears as though the fire started under one of the buses before spreading to the second.
""While the exact cause is still under investigation, it is thought that the fire was started deliberately.""",Two tourist buses have been destroyed by fire in a suspected arson attack in Belfast city centre.
2,A former police officer has told a Durham Crown Court jury that he never saw an indecent scene or abused a child.,A scout leader accused of sexually abusing a 15-year-old boy in Lincolnshire and Cambridgeshire has denied all the charges against him.,"A former Lincolnshire Police officer carried out a series of sex attacks on boys, a jury at Lincoln Crown Court was told.",3,"John Edward Bates, formerly of Spalding, Lincolnshire, but now living in London, faces a total of 22 charges, including two counts of indecency with a child.
The 67-year-old is accused of committing the offences between March 1972 and October 1989.
Mr Bates denies all the charges.
Grace Hale, prosecuting, told the jury that the allegations of sexual abuse were made by made by four male complainants and related to when Mr Bates was a scout leader in South Lincolnshire and Cambridgeshire.
""The defendant says nothing of that sort happened between himself and all these individuals. He says they are all fabricating their accounts and telling lies,"" said Mrs Hale.
The prosecutor claimed Mr Bates invited one 15 year old to his home offering him the chance to look at cine films made at scout camps but then showed him pornographic films.
She told the jury that the boy was then sexually abused leaving him confused and frightened.
Mrs Hale said: ""The complainant's recollection is that on a number of occasions sexual acts would happen with the defendant either in the defendant's car or in his cottage.""
She told the jury a second boy was taken by Mr Bates for a weekend in London at the age of 13 or 14 and after visiting pubs he was later sexually abused.
Mrs Hale said two boys from the Spalding group had also made complaints of being sexually abused.
The jury has been told that Mr Bates was in the RAF before serving as a Lincolnshire Police officer between 1976 and 1983.
The trial, which is expected to last two weeks, continues.","A former Lincolnshire Police officer carried out a series of sex attacks on boys, a jury at Lincoln Crown Court was told."
3,"An armed man who was attacked at a psychiatric hospital in Istanbul has been released from hospital, police say.","A police officer who threatened to kill himself and others at a psychiatric clinic in Istanbul has been released without charge, a hospital official says.","An armed man who locked himself into a room at a psychiatric hospital in Istanbul has ended his threat to kill himself, Turkish media report.",4,"Patients and staff were evacuated from Cerahpasa hospital on Wednesday after a man receiving treatment at the clinic threatened to shoot himself and others.
Officers were deployed to negotiate with the man, a young police officer.
Earlier reports that the armed man had taken several people hostage proved incorrect.
The chief consultant of Cerahpasa hospital, Zekayi Kutlubay, who was evacuated from the facility, said that there had been ""no hostage crises"", adding that the man was ""alone in the room"".
Dr Kutlubay said that the man had been receiving psychiatric treatment for the past two years.
He said that the hospital had previously submitted a report stating that the man should not be permitted to carry a gun.
""His firearm was taken away,"" Dr Kutlubay said, adding that the gun in the officer's possession on Wednesday was not his issued firearm.
The incident comes amid tension in Istanbul following several attacks in crowded areas, including the deadly assault on the Reina nightclub on New Year's Eve which left 39 people dead.","An armed man who locked himself into a room at a psychiatric hospital in Istanbul has ended his threat to kill himself, Turkish media report."
4,"Glasgow Warriors' fourth win out of five matches leaves them 14th in the Pro12 standings after two matches, the highest goal tally for a Scottish side since 1972.",Glasgow Warriors were beaten 10-10 at home by Dragons after Rory Clegg scored a late try to earn them a point in Dublin.,Defending Pro12 champions Glasgow Warriors bagged a late bonus-point victory over the Dragons despite a host of absentees and two yellow cards.,5,"Simone Favaro got the crucial try with the last move of the game, following earlier touchdowns by Chris Fusaro, Zander Fagerson and Junior Bulumakau.
Rynard Landman and Ashton Hewitt got a try in either half for the Dragons.
Glasgow showed far superior strength in depth as they took control of a messy match in the second period.
Home coach Gregor Townsend gave a debut to powerhouse Fijian-born Wallaby wing Taqele Naiyaravoro, and centre Alex Dunbar returned from long-term injury, while the Dragons gave first starts of the season to wing Aled Brew and hooker Elliot Dee.
Glasgow lost hooker Pat McArthur to an early shoulder injury but took advantage of their first pressure when Rory Clegg slotted over a penalty on 12 minutes.
It took 24 minutes for a disjointed game to produce a try as Sarel Pretorius sniped from close range and Landman forced his way over for Jason Tovey to convert - although it was the lock's last contribution as he departed with a chest injury shortly afterwards.
Glasgow struck back when Fusaro drove over from a rolling maul on 35 minutes for Clegg to convert.
But the Dragons levelled at 10-10 before half-time when Naiyaravoro was yellow-carded for an aerial tackle on Brew and Tovey slotted the easy goal.
The visitors could not make the most of their one-man advantage after the break as their error count cost them dearly.
It was Glasgow's bench experience that showed when Mike Blair's break led to a short-range score from teenage prop Fagerson, converted by Clegg.
Debutant Favaro was the second home player to be sin-binned, on 63 minutes, but again the Warriors made light of it as replacement wing Bulumakau, a recruit from the Army, pounced to deftly hack through a bouncing ball for an opportunist try.
The Dragons got back within striking range with some excellent combined handling putting Hewitt over unopposed after 72 minutes.
However, Favaro became sinner-turned-saint as he got on the end of another effective rolling maul to earn his side the extra point with the last move of the game, Clegg converting.
Dragons director of rugby Lyn Jones said: ""We're disappointed to have lost but our performance was a lot better [than against Leinster] and the game could have gone either way.
""Unfortunately too many errors behind the scrum cost us a great deal, though from where we were a fortnight ago in Dublin our workrate and desire was excellent.
""It was simply error count from individuals behind the scrum that cost us field position, it's not rocket science - they were correct in how they played and we had a few errors, that was the difference.""
Glasgow Warriors: Rory Hughes, Taqele Naiyaravoro, Alex Dunbar, Fraser Lyle, Lee Jones, Rory Clegg, Grayson Hart; Alex Allan, Pat MacArthur, Zander Fagerson, Rob Harley (capt), Scott Cummings, Hugh Blake, Chris Fusaro, Adam Ashe.
Replacements: Fergus Scott, Jerry Yanuyanutawa, Mike Cusack, Greg Peterson, Simone Favaro, Mike Blair, Gregor Hunter, Junior Bulumakau.
Dragons: Carl Meyer, Ashton Hewitt, Ross Wardle, Adam Warren, Aled Brew, Jason Tovey, Sarel Pretorius; Boris Stankovich, Elliot Dee, Brok Harris, Nick Crosswell, Rynard Landman (capt), Lewis Evans, Nic Cudd, Ed Jackson.
Replacements: Rhys Buckley, Phil Price, Shaun Knight, Matthew Screech, Ollie Griffiths, Luc Jones, Charlie Davies, Nick Scott.",Defending Pro12 champions Glasgow Warriors bagged a late bonus-point victory over the Dragons despite a host of absentees and two yellow cards.
5,"A woman who died on New Year's Day was a British national believed to have come from London, London's homicide squad has said.","An Ecuadorian woman has died after being hit by a car in Croydon on her way to work, police have said . Veronica Vanessa Chango-Alverez was staying at her mother's home at the time of the crash.",A man with links to a car that was involved in a fatal bus stop crash in south London is being sought by police.,6,"Veronica Vanessa Chango-Alverez, 31, was killed and another man injured when an Audi A3 struck them in Streatham High Road at 05:30 GMT on Saturday.
Ten minutes before the crash the car was in London Road, Croydon, when a Volkswagen Passat collided with a tree.
Police want to trace Nathan Davis, 27, who they say has links to the Audi. The car was abandoned at the scene.
Ms Chango-Alverez died from multiple injuries, a post-mortem examination found.
No arrests have been made as yet, police said.
Ms Chango-Alverez was staying at her mother's home in Streatham High Road.
She was born in Ecuador and had lived in London for 13 years, BBC London reporter Gareth Furby said. At the time of the crash, she was on her way to work in a hotel.
The remains of the bus stop, which was extensively damaged in the crash, have been removed.
Flowers have been left at the site in tribute to the victim.
A statement from her brother Kevin Raul Chango-Alverez said: ""My family has had its heart torn out, at this Christmas time, we will never be the same again.
""On Friday night we were together as a family with Veronica meeting her newly born nephew and preparing for Christmas.
""I last saw her alive as she left to go to work on Saturday morning, but moments later I was holding her hand as she passed away in the street.""
Describing the crash as ""horrific"" Det Insp Gordon Wallace, said: ""The family are devastated. The memory of this senseless death will be with them each time they leave their home.
""The driver fled the scene abandoning the grey Audi, which was extensively damaged.
""We are looking to speak to Mr Nathan Davis in relation to this collision.""
The 51-year-old man injured at the bus stop remains in a critical condition in hospital while the condition of the 29-year-old driver of the Volkswagen is now stable.",A man with links to a car that was involved in a fatal bus stop crash in south London is being sought by police.
6,Dutch race director David Walsh has hit out at the peloton's attitude to cars in Belgium.,"A cyclist who died after he was hit by a motorbike during a race in Belgium is being investigated by the sport's governing body, the UCI.",Welsh cyclist Luke Rowe says changes to the sport must be made following the death of Antoine Demoitie.,7,"Belgian cyclist Demoitie died after a collision with a motorbike during Belgium's Gent-Wevelgem race.
The 25-year-old was hit by the motorbike after several riders came down in a crash as the race passed through northern France.
""The main issues come when cars or motorbikes have to pass the peloton and pass riders,"" Team Sky's Rowe said.
""That is the fundamental issue we're looking into.
""There's a lot of motorbikes in and around the race whether it be cameras for TV, photographers or police motorbikes.
""In total there's around 50 motorbikes that work on each race.
""We've got a riders union and we're coming together to think of a few ideas, whether we cap a speed limit on how fast they can overtake us.
""Say we put a 10 kilometres per hour limit on it, if we're going 50kph they're only allowed to pass us 60kph or something like that.""
Demoitie, who was riding for the Wanty-Gobert team, was taken to hospital in Lille but died later.
The sport's governing body, the UCI, said it would co-operate with all relevant authorities in an investigation into the incident.
The Professional Cyclists' Association (CPA) issued a statement asking what would be done to improve safety.
Despite Demoitie's death, attitudes to road racing will stay the same says Rowe, who has been competing in Three Days of De Panne race in Belgium.
""As soon as that element of fear slips into your mind and you start thinking of things that could happen, that's when you're doomed to fail,"" he told BBC Wales Sport.
""If you start thinking about crashes and the consequences and what could potentially happen then you're never going to be at the front of the peloton and you're never going to win any races.""
In a separate incident, another Belgian cyclist, Daan Myngheer, 22, died in hospital after suffering a heart attack during the first stage of the Criterium International in Corsica.",Welsh cyclist Luke Rowe says changes to the sport must be made following the death of Antoine Demoitie.
7,Tottenham striker Christian Eriksen says his form at White Hart Lane has not been good enough to see his future in London linked with a move to the Etihad again.,"Manchester City striker Christian Gundogan says it is ""heavy mentally"" to accept he will miss the start of the Premier League season with a knee injury.",Manchester City midfielder Ilkay Gundogan says it has been mentally tough to overcome a third major injury.,8,"Gundogan, 26, told BBC Sport he ""can see the finishing line"" after tearing cruciate knee ligaments in December, but will not rush his return.
The German missed the 2014 World Cup following back surgery that kept him out for a year, and sat out Euro 2016 because of a dislocated kneecap.
He said: ""It is heavy mentally to accept that.""
Gundogan will not be fit for the start of the Premier League season at Brighton on 12 August but said his recovery time is now being measured in ""weeks"" rather than months.
He told BBC Sport: ""It is really hard always to fall and fight your way back. You feel good and feel ready, then you get the next kick.
""The worst part is behind me now. I want to feel ready when I am fully back. I want to feel safe and confident. I don't mind if it is two weeks or six.""
Gundogan made 15 appearances and scored five goals in his debut season for City following his £20m move from Borussia Dortmund.
He is eager to get on the field again and was impressed at the club's 4-1 win over Real Madrid in a pre-season game in Los Angeles on Wednesday.
Manager Pep Guardiola has made five new signings already this summer and continues to have an interest in Arsenal forward Alexis Sanchez and Monaco's Kylian Mbappe.
Gundogan said: ""Optimism for the season is big. It is huge, definitely.
""We felt that last year as well but it was a completely new experience for all of us. We know the Premier League a bit more now and can't wait for the season to start.""
City complete their three-match tour of the United States against Tottenham in Nashville on Saturday.
Chelsea manager Antonio Conte said earlier this week he did not feel Tottenham were judged by the same standards as his own side, City and Manchester United.
Spurs have had the advantage in their recent meetings with City, winning three and drawing one of their last four Premier League games.
And Gundogan thinks they are a major threat.
He said: ""Tottenham are a great team. They have the style of football. They have young English players. Our experience last season shows it is really tough to beat them.
""They are really uncomfortable to play against.
""I am pretty sure, even if they will not say it loud, the people who know the Premier League know Tottenham are definitely a competitor for the title.""",Manchester City midfielder Ilkay Gundogan says it has been mentally tough to overcome a third major injury.
8,A cyclist has been left severely injured after he was hit by a car in a stretch of roads believed to be the A127.,"A man has been airlifted to hospital after he was involved in a crash on the A127 in Essex, police have said.","A jogger has been hit by an unmarked police car responding to an emergency call, leaving him with ""serious life-changing injuries"".",9,"The crash happened about 07:20 GMT at the junction of the A127 and Progress Road in Leigh-on-Sea, Essex.
The man, who police said is aged in his 20s, was treated at the scene for a head injury and suspected multiple fractures, the ambulance service said.
He was airlifted to the Royal London Hospital for further treatment.
The Southend-bound carriageway of the A127 was closed for about six hours while police conducted their initial inquiries.
A spokeswoman for Essex Police said it was not possible comment to further as this time as the ""investigation is now being conducted by the IPCC"".","A jogger has been hit by an unmarked police car responding to an emergency call, leaving him with ""serious life-changing injuries""."
9,It's really not easy to compare.,"A tropical storm of this magnitude has been rated the highest in the history of the United States, according to a report by Newsround's Jenny Lawrence.",Hurricane Patricia has been rated as a category 5 storm.,10,"23 October 2015 Last updated at 17:44 BST
It's the highest rating a tropical storm can get and is the first one of this magnitude to hit mainland Mexico since 1959.
But how are the categories decided and what do they mean? Newsround reporter Jenny Lawrence explains.",Hurricane Patricia has been rated as a category 5 storm.
